file,intent,text_pj
public/compliance-playbooks/first-time-compliance-operator-guide.html,informational,no
public/compliance-playbooks/maintaining-compliance-without-saas.html,urgent,no
public/compliance-playbooks/compliance-ownership-playbook.html,informational,no
public/compliance-playbooks/compliance-response-playbook.html,informational,no
public/local-compliance/san-diego-compliance-systems.html,urgent,no
public/local-compliance/san-diego-own-your-compliance.html,urgent,no
public/local-compliance/california-compliance-software-explained.html,urgent,no
public/own-your-compliance/ai-compliance-software-vs-saas.html,urgent,no
public/own-your-compliance/why-own-compliance-instead-of-licensing.html,informational,no
public/own-your-compliance/compliance-as-code-explained.html,urgent,no
public/own-your-compliance/own-your-gdpr-soc2-hipaa-compliance.html,informational,no
public/own-your-compliance/build-your-own-compliance-system.html,informational,no
public/own-your-compliance/compliance-software-pricing-trap.html,informational,no
public/own-your-compliance/index.html,money,no
public/compliance-failures/compliance-software-didnt-save-us.html,urgent,no
public/compliance-failures/what-happens-after-audit-failure.html,urgent,no
public/compliance-failures/why-compliance-efforts-fail.html,urgent,no
public/compliance-failures/common-compliance-mistakes.html,urgent,no
public/assist/dmv/who-do-i-call-no-dmv-appointment.html,informational,yes
public/assist/hospital/who-do-i-call-er-wait-too-long.html,informational,yes
public/assist/events/who-do-i-call-event-parking.html,informational,yes
public/assist/court/who-do-i-call-missed-court.html,urgent,yes
public/assist/airport/who-do-i-call-missed-flight-san-diego.html,urgent,yes
public/assist/university/who-do-i-call-campus-navigation.html,informational,yes
public/compliance-calculators/compliance-software-cost-calculator.html,money,no
public/compliance-calculators/compliance-build-vs-buy-calculator.html,money,no
public/compliance-calculators/compliance-ownership-break-even.html,money,no
public/compliance-by-size/compliance-for-enterprise-teams.html,informational,no
public/compliance-by-size/compliance-for-50-200-employees.html,informational,no
public/compliance-by-size/compliance-for-10-50-employees.html,informational,no
public/compliance-by-size/compliance-for-1-10-employees.html,informational,no
public/compliance-industries/fintech-compliance-enforcement.html,informational,no
public/compliance-industries/small-business-compliance-enforcement.html,urgent,no
public/compliance-industries/healthcare-compliance-enforcement.html,informational,no
public/compliance-industries/saas-compliance-enforcement.html,informational,no
public/compliance-industries/energy-compliance-enforcement.html,urgent,no
public/compliance-timelines/how-long-compliance-actually-takes.html,money,no
public/compliance-timelines/audit-prep-timeline.html,money,no
public/compliance-timelines/compliance-readiness-checklist.html,money,no
